Id,Water Temperature,Turbidity,Wave Height,Wave Period,Battery Life
0,21.7,3.15,0.389,3,11.2
1,16,2.18,0.137,3,11.8
2,21.7,1.92,0.023,1,10.3
3,21.9,1.81,0.026,6,10.3
4,23,0.03,0.021,8,12.4
5,17.6,3.09,0.159,4,12.6
6,19.3,2.96,0.157,4,12.5
7,19.6,2.81,0.167,4,12.5
8,18.2,3.06,0.149,4,12.5
9,18.6,3.07,0.159,4,12.4
10,18.2,2.96,0.139,4,12.4
11,18.4,2.83,0.145,4,12.4
12,18.4,2.77,0.147,4,12.4
13,18.4,2.65,0.152,4,12.3
14,18.2,2.58,0.116,3,12.3
15,18.1,2.87,0.097,3,12.3
16,18,2.83,0.09,5,12.3
17,17.9,2.66,0.106,4,12.3
18,17.8,2.46,0.086,4,12.2
19,17.6,2.47,0.093,5,12.2
20,17.5,2.55,0.089,4,12.2
21,17.5,2.46,0.088,4,12.2
22,17.5,2.55,0.096,4,12.2
23,17.5,2.43,0.091,4,12.2
24,17.5,2.39,0.183,2,12.2
25,17.5,2.37,0.283,3,12.1
26,17.6,2.56,0.298,3,12.1
27,17.7,2.97,0.321,4,12.1
28,17.5,3.16,0.315,4,12.1
29,17.5,3.58,0.372,4,12.1
30,17.5,4.44,0.299,4,12.1
31,18,6.14,0.33,5,12.1
32,17.5,5.21,0.31,5,12.1
33,17.5,4.32,0.289,5,12
34,17.3,5.34,0.306,5,12
35,16.9,5.73,0.38,5,12
36,16.4,6.53,0.333,4,12
37,16.3,6.18,0.301,4,12
38,16.3,5.88,0.278,5,12
39,16.3,5.69,0.287,6,12
40,16.1,5.85,0.282,4,12
41,16.1,5.63,0.263,5,12
42,15.9,5.66,0.285,5,12
43,15.9,5.51,0.255,4,11.9
44,15.8,4.99,0.247,5,11.9
45,18.2,2.66,0.116,4,12.3
46,15.8,4.7,0.229,5,11.9
47,16,2.35,0.134,3,11.8
48,15.5,1.65,0.108,3,11.7
49,15.8,4.44,0.217,5,11.9
50,15.8,4.25,0.219,5,11.9
51,16,3.2,0.214,5,11.9
52,16.2,3.08,0.191,4,11.9
53,16.6,3.61,0.193,3,11.9
